ingredient_1,ingredient_2,reaction,severity,product_examples,source,research_paper,key_finding,,
INS 211 (Sodium Benzoate),Ascorbic Acid (Vitamin C),Forms benzene â€” a Group 1 carcinogen classified by IARC. Reaction accelerated by heat and light exposure,HIGH,"Maaza, Slice, Real Juice, Tropicana, most Indian fruit drinks",WHO Technical Report on Benzene in Soft Drinks 2005 | Gardner & Bhowmik Food Additives and Contaminants 1993,Gardner LK & Lawrence GD (1993) Benzene production from decarboxylation of benzoic acid in the presence of ascorbic acid. Journal of Agricultural and Food Chemistry,Benzene formation confirmed in acidic beverages containing both sodium benzoate and ascorbic acid â€” benzene is a known human carcinogen (IARC Group 1),,
INS 211 (Sodium Benzoate),Citric Acid,Accelerates benzene formation from sodium benzoate â€” citric acid creates the acidic environment needed for the reaction,HIGH,"Most Indian fruit drinks, cordials, squashes",WHO 2005 Benzene in Beverages report,WHO (2005) Benzene in Beverages â€” technical report,Acidic pH created by citric acid significantly accelerates benzene formation when sodium benzoate is present,,
INS 102 (Tartrazine),INS 110 (Sunset Yellow),Combined hyperactivity effect in children significantly stronger than either dye alone â€” the Southampton study specifically tested this combination,HIGH,"Coloured Indian sweets, some cold drinks, orange-flavoured candies",McCann et al. The Lancet 2007,"McCann D et al. (2007) Food additives and hyperactive behaviour in 3-year-old and 8/9-year-old children in the community: a randomised, double-blinded, placebo-controlled trial. The Lancet 370(9598):1560-1567",Significant increase in hyperactive behaviour in children consuming this specific dye combination with sodium benzoate,,
INS 102 (Tartrazine),INS 211 (Sodium Benzoate),Combined in the original Southampton study â€” this exact mixture caused measurable hyperactivity increases in children aged 3 and 8-9,HIGH,Coloured drinks with preservatives â€” common in Indian packaged beverages,McCann et al. The Lancet 2007,McCann D et al. (2007) The Lancet 370(9598):1560-1567,The Southampton mixture containing tartrazine and sodium benzoate caused significant hyperactivity â€” this combination is what prompted EU mandatory warning labels,,
INS 110 (Sunset Yellow),INS 211 (Sodium Benzoate),Part of the Southampton cocktail â€” combined with sodium benzoate this dye showed hyperactivity effects in children,HIGH,Orange-coloured preserved drinks,McCann et al. The Lancet 2007,McCann D et al. (2007) The Lancet 370(9598):1560-1567,Sunset yellow combined with sodium benzoate showed significant hyperactivity effect in children in randomised controlled trial,,
INS 250 (Sodium Nitrite),Amines (from protein digestion),Forms nitrosamines in the stomach during digestion â€” nitrosamines are potent carcinogens. Reaction occurs when nitrite meets protein breakdown products,HIGH,"Sausages, salami, hot dogs, deli meats, processed chicken products",IARC Monographs Vol 114 (2015) | WHO 2015 processed meat classification,IARC (2015) Carcinogenicity of consumption of red and processed meat. The Lancet Oncology 16(16):1599-1600,Processing meat with sodium nitrite and subsequent protein digestion generates nitrosamines â€” IARC classified processed meat as Group 1 carcinogen for colorectal cancer,,
INS 250 (Sodium Nitrite),Vitamin C (Ascorbic Acid),Vitamin C actually INHIBITS nitrosamine formation â€” some manufacturers add it intentionally to reduce risk. Opposite of the benzene reaction,LOW,Some processed meats with added Vitamin C,Mirvish SS et al. Journal of the National Cancer Institute 1972,Mirvish SS et al. (1972) Ascorbate-nitrite reaction: possible means of blocking the formation of carcinogenic N-nitroso compounds. Science 177(4043):65-68,Vitamin C inhibits nitrosamine formation from nitrite â€” protective effect confirmed,,
INS 220 (Sulphur Dioxide),Thiamine (Vitamin B1),Sulphur dioxide destroys Vitamin B1 completely through chemical degradation â€” products containing both effectively have no functional Vitamin B1,MEDIUM,"Dried fruits, some packaged fruit juices, wine-based products",EFSA Panel on Food Additives (2016) Re-evaluation of sulphur dioxide as food additive,EFSA (2016) Re-evaluation of sulphur dioxide (E 220) as a food additive. EFSA Journal 14(4):4438,Sulphur dioxide destroys thiamine (Vitamin B1) â€” products with high sulphite content cannot be considered a source of Vitamin B1,,
INS 223 (Sodium Metabisulphite),Thiamine (Vitamin B1),Same thiamine destruction as INS 220 â€” all sulphite-based preservatives destroy Vitamin B1,MEDIUM,"Packaged fruit juices, dried fruits, some Indian snacks",EFSA 2016 sulphite re-evaluation,EFSA (2016) EFSA Journal 14(4):4438,All sulphite compounds destroy thiamine through the same chemical mechanism,,
INS 407 (Carrageenan),Acidic conditions (citric acid, ascorbic acid),Acid hydrolysis converts food-grade carrageenan to degraded carrageenan (poligeenan) â€” the degraded form is more strongly associated with intestinal inflammation and is classified IARC Group 2B,MEDIUM,"Chocolate milk with citric acid, some flavoured dairy drinks",Tobacman JK (2001) Review of harmful gastrointestinal effects of carrageenan in animal experiments. Environmental Health Perspectives,Tobacman JK (2001) Environ Health Perspect 109(10):983-994,Acidic conditions can convert food-grade carrageenan to degraded form with stronger inflammatory potential,
Maltodextrin,High sugar ingredients (sucrose glucose fructose),Dual rapid glucose spike â€” maltodextrin already has GI of 110 (higher than sugar). Combined with direct sugars creates extreme blood glucose spike particularly harmful for diabetics and weight management,HIGH,"Bournvita, Horlicks, most Indian health drinks, flavoured oats",Multiple nutrition studies on glycemic index,"Augustin LS et al. (2015) Glycemic index, glycemic load and glycemic response: An International Scientific Consensus Summit. Nutrition, Metabolism and Cardiovascular Diseases 25(9):795-815",Combination of high GI ingredients creates compounded glycemic response greater than either ingredient alone,,
